2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-13 15:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 09:00:00] ORDER CREATED: BUY USDJPY target_notional=2000.00 lots=0.02 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.471)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 09:00:00] ORDER REJECTED: BUY USDJPY — margin required (20.00) exceeds usable free cash (-4761.55 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 14:00:00] ORDER CREATED: BUY EURUSD target_notional=187.17 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.035)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 14:00:00] ORDER REJECTED: BUY EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 15:30:00] ORDER CREATED: BUY USDJPY target_notional=1.10 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 15:30:00] ORDER REJECTED: BUY USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 16:00:00] ORDER CREATED: BUY USDJPY target_notional=1.10 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 16:00:00] ORDER REJECTED: BUY USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 16:30:00] ORDER CREATED: BUY USDJPY target_notional=1.10 lots=None (regime=trending; trend-following (primary) says up; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 16:30:00] ORDER REJECTED: BUY USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:38 | INFO     | orders.order_manager         | [2025-03-14 18:00:00] ORDER CREATED: BUY USDJPY target_notional=2.33 lots=None (regime=ranging; mean-reversion (primary) says up; trend-following (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:38 | WARNING  | orders.order_manager         | [2025-03-14 18:00:00] ORDER REJECTED: BUY USDJPY — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-18 04:30:00] ORDER CREATED: BUY USDJPY target_notional=4000.00 lots=0.04 (regime=trending; trend-following (primary) says up; mean-reversion (secondary) conflicts with primary; shrink=0.793)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-18 04:30:00] ORDER REJECTED: BUY USDJPY — margin required (40.00) exceeds usable free cash (-4818.66 after 10% safety buffer) — account cannot support this position at current leverage
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 16:30:00] ORDER CREATED: SELL EURUSD target_notional=1.55 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 16:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 17:00:00] ORDER CREATED: SELL EURUSD target_notional=1.55 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 17:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 17:30:00] ORDER CREATED: SELL EURUSD target_notional=59823.50 lots=0.55 (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.630)
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 18:00:00] ORDER CREATED: SELL EURUSD target_notional=3.37 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 18:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 18:30:00] ORDER CREATED: SELL EURUSD target_notional=3.37 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 18:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 19:00:00] ORDER CREATED: SELL EURUSD target_notional=19559.34 lots=0.18 (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.548)
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 19:30:00] ORDER CREATED: SELL EURUSD target_notional=5.94 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 19:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 20:00:00] ORDER CREATED: SELL EURUSD target_notional=5.95 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 20:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 20:30:00] ORDER CREATED: SELL EURUSD target_notional=5.96 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 20:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 21:00:00] ORDER CREATED: SELL EURUSD target_notional=8.93 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 21:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 21:30:00] ORDER CREATED: SELL EURUSD target_notional=8.94 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.001)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 21:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 22:00:00] ORDER CREATED: SELL EURUSD target_notional=3.61 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 22:00:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-19 22:30:00] ORDER CREATED: SELL EURUSD target_notional=3.61 lots=None (regime=trending; trend-following (primary) says down; mean-reversion (secondary) agrees with primary; shrink=0.000)
2026-08-09 10:49:39 | WARNING  | orders.order_manager         | [2025-03-19 22:30:00] ORDER REJECTED: SELL EURUSD — desired size rounds to 0.0000 lots, below the broker minimum of 0.001 lots — account too small for this trade's risk-scaled size
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-20 11:00:00] ORDER CREATED: SELL EURUSD target_notional=6504.30 lots=0.06 (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=0.444)
2026-08-09 10:49:39 | INFO     | orders.order_manager         | [2025-03-21 06:30:00] ORDER CREATED: SELL EURUSD target_notional=7581.28 lots=0.07 (regime=trending; trend-following (primary) says down; mean-reversion (secondary) conflicts with primary; shrink=1.000)
